NAME1 RA1 DEC1 Z1 RMS1 R1 G1 M1 Cf1 Cl1 Aib1 Aog1 NAME2 RA2 DEC2 Z2 RMS2 R2 G2 M2 Cf2 Cl2 Aib2 Aog2
J132428.24+044629.6 201.117680 4.774889 0.021430 0.022568 15.000000 0.673181 -2.324937 0.504571 3.010300 0.093473 0.072767 J085949.05+050339.1 134.954370 5.060853 0.012519 0.024462 35.000000 0.625897 -2.282722 0.467351 3.086500 0.147246 0.110962
J082510.23+375919.8 126.292630 37.988820 0.021431 0.016743 27.000000 0.656778 -2.155477 0.471611 2.821357 0.140411 0.109012 J080547.35+225434.9 121.447280 22.909688 0.030256 0.016638 33.000000 0.619546 -2.355256 0.500205 3.406206 0.247538 0.146698
J082510.23+375919.8 126.292630 37.988820 0.021431 0.016743 27.000000 0.656778 -2.155477 0.471611 2.821357 0.140411 0.109012 J023310.79-074813.4 38.294963 -7.803722 0.030938 0.017851 15.000000 0.679021 -2.261472 0.515603 3.010300 0.074488 0.051567
J082510.23+375919.8 126.292630 37.988820 0.021431 0.016743 27.000000 0.656778 -2.155477 0.471611 2.821357 0.140411 0.109012 J073715.73+313110.9 114.315550 31.519703 0.026800 0.012561 15.000000 0.707201 -2.515120 0.610732 3.010300 0.070565 0.069142
J082510.23+375919.8 126.292630 37.988820 0.021431 0.016743 27.000000 0.656778 -2.155477 0.471611 2.821357 0.140411 0.109012 J111835.82+002511.2 169.649240 0.419767 0.025077 0.015373 15.000000 0.734089 -2.583887 0.631584 3.890756 0.088554 0.086191
J082510.23+375919.8 126.292630 37.988820 0.021431 0.016743 27.000000 0.656778 -2.155477 0.471611 2.821357 0.140411 0.109012 J081006.07+245519.5 122.525280 24.922096 0.014041 0.024060 40.000000 0.625762 -2.585946 0.515285 4.030900 0.122549 0.074510
J093812.26+074340.1 144.551100 7.727792 0.021895 0.024694 19.000000 0.707048 -2.468216 0.579154 3.494850 0.117098 0.106603 J082854.33+343906.0 127.226360 34.651656 0.020922 0.016899 40.000000 0.643622 -2.180023 0.499327 3.367079 0.306766 0.263114
J093812.26+074340.1 144.551100 7.727792 0.021895 0.024694 19.000000 0.707048 -2.468216 0.579154 3.494850 0.117098 0.106603 J094814.71+574444.5 147.061300 57.745681 0.029719 0.015769 15.000000 0.761118 -2.323081 0.609852 3.010300 0.094193 0.088972
J093812.26+074340.1 144.551100 7.727792 0.021895 0.024694 19.000000 0.707048 -2.468216 0.579154 3.494850 0.117098 0.106603 J113446.25+025515.7 173.692720 2.921034 0.028664 0.026550 26.000000 0.644680 -2.520670 0.487259 4.119544 0.159755 0.093633
J093812.26+074340.1 144.551100 7.727792 0.021895 0.024694 19.000000 0.707048 -2.468216 0.579154 3.494850 0.117098 0.106603 J093917.26+363343.9 144.821910 36.562197 0.019716 0.023617 35.000000 0.646410 -2.824438 0.584175 4.301690 0.123015 0.085549
J093812.26+074340.1 144.551100 7.727792 0.021895 0.024694 19.000000 0.707048 -2.468216 0.579154 3.494850 0.117098 0.106603 J111038.86+034519.6 167.661920 3.755448 0.025452 0.023767 20.000000 0.702699 -2.464374 0.586183 3.494850 0.083011 0.053359
J133815.87+043233.3 204.566130 4.542593 0.022975 0.014097 65.000000 0.656636 -2.512634 0.565082 3.723637 0.066695 0.039513 J220316.00+003415.9 330.816650 0.571085 0.030142 0.009461 61.000000 0.674409 -1.982285 0.510378 3.360489 0.173040 0.144907
J133815.87+043233.3 204.566130 4.542593 0.022975 0.014097 65.000000 0.656636 -2.512634 0.565082 3.723637 0.066695 0.039513 J104000.58+390720.0 160.002400 39.122224 0.030805 0.016609 47.000000 0.626664 -2.451006 0.475613 3.829584 0.131905 0.089112
J133815.87+043233.3 204.566130 4.542593 0.022975 0.014097 65.000000 0.656636 -2.512634 0.565082 3.723637 0.066695 0.039513 J141451.35+030751.3 213.713950 3.130926 0.025334 0.024614 61.000000 0.619824 -2.624734 0.541398 4.326507 0.100992 0.048080
J133815.87+043233.3 204.566130 4.542593 0.022975 0.014097 65.000000 0.656636 -2.512634 0.565082 3.723637 0.066695 0.039513 J144545.12+513450.9 221.437980 51.580815 0.029807 0.023602 45.000000 0.630344 -2.521376 0.520995 3.766638 0.215824 0.166008
J133815.87+043233.3 204.566130 4.542593 0.022975 0.014097 65.000000 0.656636 -2.512634 0.565082 3.723637 0.066695 0.039513 J172717.39+582907.7 261.822450 58.485471 0.027224 0.018106 62.000000 0.587443 -2.398245 0.500394 3.750613 0.122526 0.066120
J100207.04+030327.7 150.529330 3.057686 0.023176 0.018740 35.000000 0.654612 -2.640613 0.489643 3.740940 0.093250 0.060515 J034545.16-071526.9 56.438184 -7.257463 0.021655 0.020260 35.000000 0.648088 -2.478619 0.568514 3.817140 0.131098 0.095411
J100207.04+030327.7 150.529330 3.057686 0.023176 0.018740 35.000000 0.654612 -2.640613 0.489643 3.740940 0.093250 0.060515 J074953.38+451454.6 117.472400 45.248489 0.031253 0.028101 22.000000 0.644601 -2.259852 0.512541 3.141945 0.112024 0.063186
J100207.04+030327.7 150.529330 3.057686 0.023176 0.018740 35.000000 0.654612 -2.640613 0.489643 3.740940 0.093250 0.060515 J094511.97-000712.1 146.299880 -0.120014 0.030655 0.021029 27.000000 0.564170 -2.161821 0.423122 3.116246 0.186960 0.103520
J100207.04+030327.7 150.529330 3.057686 0.023176 0.018740 35.000000 0.654612 -2.640613 0.489643 3.740940 0.093250 0.060515 J080328.07+250609.6 120.866940 25.102666 0.027570 0.017965 15.000000 0.730589 -2.628825 0.658246 3.184110 0.083750 0.083644
J100207.04+030327.7 150.529330 3.057686 0.023176 0.018740 35.000000 0.654612 -2.640613 0.489643 3.740940 0.093250 0.060515 J005329.92-084604.0 13.374656 -8.767788 0.019029 0.028666 40.000000 0.650263 -2.255875 0.490701 3.300260 0.159095 0.109911
J121754.98+583935.7 184.479070 58.659912 0.023253 0.015562 20.000000 0.721364 -2.661758 0.616983 3.766638 0.059596 0.050417 J080547.35+225434.9 121.447280 22.909688 0.030256 0.016638 33.000000 0.619546 -2.355256 0.500205 3.406206 0.247538 0.146698
J121754.98+583935.7 184.479070 58.659912 0.023253 0.015562 20.000000 0.721364 -2.661758 0.616983 3.766638 0.059596 0.050417 J023310.79-074813.4 38.294963 -7.803722 0.030938 0.017851 15.000000 0.679021 -2.261472 0.515603 3.010300 0.074488 0.051567
J121754.98+583935.7 184.479070 58.659912 0.023253 0.015562 20.000000 0.721364 -2.661758 0.616983 3.766638 0.059596 0.050417 J213206.88+110637.0 323.028650 11.110274 0.031565 0.028824 14.000000 0.682244 -2.576058 0.570462 3.701813 0.096533 0.072917
J121754.98+583935.7 184.479070 58.659912 0.023253 0.015562 20.000000 0.721364 -2.661758 0.616983 3.766638 0.059596 0.050417 J104833.59+475914.7 162.139960 47.987413 0.033214 0.021167 14.000000 0.682655 -2.529388 0.499843 3.701813 0.152217 0.122118
J121754.98+583935.7 184.479070 58.659912 0.023253 0.015562 20.000000 0.721364 -2.661758 0.616983 3.766638 0.059596 0.050417 J111835.82+002511.2 169.649240 0.419767 0.025077 0.015373 15.000000 0.734089 -2.583887 0.631584 3.890756 0.088554 0.086191
J080740.99+390015.3 121.920810 39.004246 0.023496 0.012842 35.000000 0.725094 -2.855807 0.621338 4.771213 0.081768 0.058081 J134640.80+522836.6 206.669980 52.476826 0.029231 0.017207 20.000000 0.697264 -2.504940 0.606419 3.141945 0.069709 0.058579
J080740.99+390015.3 121.920810 39.004246 0.023496 0.012842 35.000000 0.725094 -2.855807 0.621338 4.771213 0.081768 0.058081 J005329.92-084604.0 13.374656 -8.767788 0.019029 0.028666 40.000000 0.650263 -2.255875 0.490701 3.300260 0.159095 0.109911
J080740.99+390015.3 121.920810 39.004246 0.023496 0.012842 35.000000 0.725094 -2.855807 0.621338 4.771213 0.081768 0.058081 J085828.60+000124.5 134.619160 0.023468 0.028552 0.013356 28.000000 0.712137 -2.392205 0.539461 3.217263 0.081406 0.063508
J080740.99+390015.3 121.920810 39.004246 0.023496 0.012842 35.000000 0.725094 -2.855807 0.621338 4.771213 0.081768 0.058081 J005940.11+151951.5 14.917142 15.330978 0.018241 0.023418 45.000000 0.643556 -2.642580 0.561644 4.225490 0.128939 0.077838
J080740.99+390015.3 121.920810 39.004246 0.023496 0.012842 35.000000 0.725094 -2.855807 0.621338 4.771213 0.081768 0.058081 J034545.16-071526.9 56.438184 -7.257463 0.021655 0.020260 35.000000 0.648088 -2.478619 0.568514 3.817140 0.131098 0.095411
J122324.14+024044.4 185.850570 2.679011 0.023579 0.026310 20.000000 0.670810 -2.516483 0.548968 3.141945 0.087735 0.071710 J123804.16+482042.3 189.517340 48.345096 0.030506 0.015469 15.000000 0.724766 -2.244069 0.590116 3.010300 0.074638 0.064618
