NAME1,RA1,DEC1,Z1,RMS1,NAME2,RA2,DEC2,Z2,RMS2
J121754.98+583935.7,184.47907,58.659912,0.023253,0.0155623,J104833.59+475914.7,162.13996,47.987413000000004,0.0332144,0.021167
J121754.98+583935.7,184.47907,58.659912,0.023253,0.0155623,J111835.82+002511.2,169.64924,0.41976742,0.0250768,0.0153728
J080740.99+390015.3,121.92081,39.004246,0.023496,0.012842,J134640.80+522836.6,206.66998,52.476826,0.0292307,0.0172074
J080740.99+390015.3,121.92081,39.004246,0.023496,0.012842,J005329.92-084604.0,13.374656,-8.7677882,0.019029,0.0286664
J080740.99+390015.3,121.92081,39.004246,0.023496,0.012842,J085828.60+000124.5,134.61916000000002,0.023468147,0.0285519,0.0133562
J080740.99+390015.3,121.92081,39.004246,0.023496,0.012842,J005940.11+151951.5,14.917142000000002,15.330978,0.0182413,0.023418
J080740.99+390015.3,121.92081,39.004246,0.023496,0.012842,J034545.16-071526.9,56.438184,-7.257463,0.0216551,0.0202597
J122324.14+024044.4,185.85057,2.679011,0.023579,0.0263099,J123804.16+482042.3,189.51734,48.345096000000005,0.0305055,0.0154695
J122324.14+024044.4,185.85057,2.679011,0.023579,0.0263099,J093917.26+363343.9,144.82191,36.562197,0.0197165,0.0236172
J122324.14+024044.4,185.85057,2.679011,0.023579,0.0263099,J113446.25+025515.7,173.69272,2.9210337,0.0286643,0.0265501
J122324.14+024044.4,185.85057,2.679011,0.023579,0.0263099,J135857.98+614050.6,209.74157999999997,61.680726,0.0299321,0.0148169
J122324.14+024044.4,185.85057,2.679011,0.023579,0.0263099,J143143.18-021248.8,217.92991,-2.2135634,0.0295117,0.0246661
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,0.0250289,J131835.67+140248.5,199.64862,14.046798999999998,0.0284924,0.0257361
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,0.0250289,J133023.78+022058.6,202.59909,2.3496142000000004,0.0320119,0.0267563
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,0.0250289,J170622.22+212422.2,256.5926,21.406173000000003,0.0309222,0.0160325
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,0.0250289,J143445.75+005319.1,218.69062000000002,0.88865091,0.0140943,0.0179173
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,0.0250289,J110442.28+405732.1,166.17615,40.958914,0.0330871,0.024104
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,0.0125602,J104833.59+475914.7,162.13996,47.987413000000004,0.0332144,0.021167
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,0.0125602,J082403.67+515415.7,126.01531000000001,51.904354999999995,0.0313134,0.0229237
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,0.0125602,J082443.29+295923.6,126.18036000000001,29.989878000000004,0.0253248,0.018166
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,0.0125602,J023310.79-074813.4,38.294963,-7.8037217000000005,0.030938,0.0178512
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,0.0125602,J111835.82+002511.2,169.64924,0.41976742,0.0250768,0.0153728
