NAME2,I,type,other,hubble,sat,bar,core,asa,gud,tl,mg,onsa,ring
J115359.07+130853.7,0.10219079069934016,b,,e,,,,,,,,,
J115436.02+455536.8,0.0906761982091326,f,,e,,,,,,,,,
J115621.42+443155.2,0.14976005976630474,2,,a,,,,,,,,,1
J115704.55+434937.6,0.09938406200984573,b,,e,,,,,,,,,
J115704.84+524903.7,0.13932594461501374,1,,a,,,,,,,,,1
J115721.73+583205.2,0.09489186140622792,f,,e,,,,,,,,,
J115725.05+092038.6,0.09905086039190884,f,,e,,,,,,,,,
J115753.46+415613.8,0.09081868458031063,1,,a,,,,,,,,,1
J115852.64+583501.0,0.11403837632595334,b,,e,,,,,,,,,
J115917.92+564336.3,0.17965905461068002,2,,a,,,,,1,,,,
J120003.17+081054.2,0.12490041292251487,1,,a,,,,,,,,1,
J120057.53-024523.8,0.11141044589947648,c,,l,,,,,,,,,
J120138.04+061245.2,0.07390494640306637,b,,e,,,,,,,,,
J120314.20+044955.7,0.2257457023742104,3,,a,,,,,,1,,,
J120433.82+541923.7,0.12070794448012505,b,,e,,,,,,,,,
J120443.26+483837.4,0.13762449778667993,b,,e,,,,,,,,,
J120443.45-033304.9,0.17234326764941932,2,,a,,,,1,1,,,,
J120716.43+045052.3,0.1331222542995675,f,,e,,,,,,,,,
J120722.70+625710.7,0.09565475557220117,d,,s,,,,,,,,,
J120905.74+411903.9,0.14838055550460488,e,,a,,,,1,,,,,
J120908.81+440011.5,0.1267170640524765,1,,a,,,,,,,,1,
J120914.11+470330.1,0.10473462725509387,d,,s,,,,,,,,,
J121000.38+103628.9,0.08785715109121378,a,,e,,,,,,,,,
J121326.84-000548.1,0.13151855968911574,a,,e,,,,,,,,,
J121451.24-032922.2,0.11978449219745547,1,,a,1,,,,,,,,
J121626.72+105342.4,0.13394636503051488,2,,a,1,,,,,,,,
J121649.03+472619.7,0.11627919346675873,4,1,a,,,,,,,1,,
J121758.45+411734.5,0.09524701481297798,e,,s,,,,,,,,,
J121836.48+512452.9,0.15293712742790855,2,,a,1,,,,,,,,
J122119.70+544923.2,0.1184958193590696,f,,e,,,,,,,,,
J122307.59+633005.1,0.18264365826286705,4,,a,,,,,,,1,,
J122436.01+551650.6,0.137210404524114,c,2,l,,,,,,,,,
J122625.17+554942.1,0.09173598866914626,f,,e,,,,,,,,,
J122727.62+031807.7,0.16002140718949334,1,,a,1,,,,,,,,
J123019.41+032712.8,0.09097875910422763,f,,e,,,,,,,,,
J123113.97+500026.8,0.09351049102187148,f,,e,,,,,,,,,
J123303.78+524212.7,0.1309753017870997,1,,a,1,,,,,,,,
J123358.31+490154.7,0.09838883972734848,b,,e,,,,,,,,,
J123554.53+052021.3,0.12321010252134125,f,,e,,,,,,,,,
J123804.16+482042.3,0.07582586500094726,b,,e,,,,,,,,,
J123838.10+453414.5,0.09252644633813284,f,,e,,,,,,,,,
J123917.81+513833.5,0.09600319456398118,a,,e,,,,,,,,,
J124148.07+474231.9,0.12067746260273199,c,,l,,,,,,,,,
J124934.80+134809.8,0.14360368970355253,1,,a,1,,,,1,,,,
J125027.42+001345.6,0.0880268789299326,f,,e,,,,,,,,,
J125716.85+443625.7,0.19734324854484286,3,,a,,,,,1,,,,
J125821.16+045308.4,0.17750921027035066,3,,a,,,,1,,,,,
J125950.27+620409.9,0.10026267148079328,f,,e,,,,,,,,,
J130238.75+452637.3,0.08365777858430061,b,,e,,,,,,,,,
J130452.67+513651.3,0.12051820023779575,b,,e,,,,,,,,,
J130515.26+045234.3,0.3249271286245107,4,,a,,,,,,,1,,
J130549.53-033825.3,0.09591269435978056,f,,e,,,,,,,,,
J130709.78+523247.1,0.07920411916792583,b,,e,,,,,,,,,
J130808.53+640023.8,0.1253354787087801,a,,e,,,,,,,,,
J130850.11-004902.3,0.10724085076165674,b,,e,,,,,,,,,
